*.pascal	Pascal
*.pasm	Parrot Assembly
*.pat	Max
*.patch	Diff
*.pb	PureBasic
*.pbi	PureBasic
*.pbt	PowerBuilder
*.pbt	Protocol Buffer Text Format
*.pbtxt	Protocol Buffer Text Format
*.PcbDoc	Altium Designer
*.pck	PLSQL
*.pcss	PostCSS
*.pd	Pure Data
*.pd_lua	Lua
*.pddl	PDDL
*.pde	Processing
*.peggy	PEG.js
*.pegjs	PEG.js
*.pep	Pep8
*.per	Genero per
*.perl	Perl
*.pfa	PostScript
*.pgsql	PLpgSQL
*.ph	Perl
*.php	Hack
*.php	PHP
*.php3	PHP
*.php4	PHP
*.php5	PHP
*.phps	PHP
*.phpt	PHP
*.phtml	HTML+PHP
*.pic	Pic
*.pig	PigLatin
*.pike	Pike
*.pir	Parrot Internal Representation
*.pkb	PLSQL
*.pkgproj	XML
*.pkl	Pickle
*.pkl	Pkl
*.pks	PLSQL
*.pl	Perl
*.pl	Prolog
*.pl	Raku
*.pl6	Raku
*.plantuml	PlantUML
*.plb	PLSQL
*.plist	OpenStep Property List
*.plist	XML Property List
*.plot	Gnuplot
*.pls	PLSQL
*.plsql	PLSQL
*.plt	Gnuplot
*.plt	Prolog
*.pluginspec	Ruby
*.pluginspec	XML
*.plx	Perl
*.pm	Perl
*.pm	Raku
*.pm	X PixMap
*.pm6	Raku
*.pml	Promela
*.pmod	Pike
*.po	Gettext Catalog
*.pod	Pod
*.pod	Pod 6
*.pod6	Pod 6
*.podsl	Common Lisp
*.podspec	Ruby
*.pogo	PogoScript
*.polar	Polar
*.pony	Pony
*.por	Portugol
*.postcss	PostCSS
*.pot	Gettext Catalog
*.pov	POV-Ray SDL
*.pp	Pascal
*.pp	Puppet
*.pprx	REXX
*.praat	Praat
*.prawn	Ruby
*.prc	PLSQL
*.prc	SQL
*.prefab	Unity3D Asset
*.prefs	INI
*.prg	xBase
*.pri	QMake
*.prisma	Prisma
*.PrjPCB	Altium Designer
*.pro	IDL
*.pro	INI
*.pro	Proguard
*.pro	Prolog
*.pro	QMake
